@relation NoLatd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
2,3,38,0,4,10,59,6,0,0,1,2,0,11,9,0,0,0,0,0,0,0,0,0,0,0,N
7,18,74,2,11,1,77,21,0,1,3,4,3,19,78,0,0,0,0,0,1,0,0,0,2,44,N
2,3,26,0,3,8,42,7,0,0,2,0,0,14,22,0,0,0,0,0,0,0,0,0,2,11,N
5,3,23,0,3,5,47,5,0,0,1,0,0,17,17,0,0,0,0,0,0,0,0,0,2,16,N
8,10,36,0,7,6,29,20,0,0,1,1,0,12,87,0,0,0,0,0,0,0,0,0,0,77,N
2,2,6,1,16,0,2,3,0,7,2,1,22,2,15,0,0,1,0,0,10,0,2,0,0,64,N
5,6,3,1,21,0,6,10,0,11,21,9,34,29,13,0,0,0,4,2,12,1,10,8,14,66,N
3,2,5,1,18,0,2,4,0,4,2,1,29,0,11,0,0,0,0,0,7,0,1,1,0,62,N
9,5,12,2,21,3,10,20,0,12,10,13,31,25,14,0,0,0,1,5,9,2,3,7,6,75,N
8,6,9,1,21,0,8,13,0,11,16,13,30,30,12,0,0,3,5,5,12,0,9,9,15,35,N
7,2,11,2,23,2,7,15,0,10,16,17,36,32,16,0,0,2,1,1,7,1,2,8,23,79,N
13,6,1,7,34,4,24,16,0,12,29,32,22,21,17,0,2,7,10,14,29,9,3,34,48,48,N
8,12,79,0,8,2,74,20,0,2,5,3,7,17,83,0,0,0,0,0,0,0,0,0,2,31,N
6,12,73,1,14,2,77,22,0,2,4,3,5,19,80,0,0,0,0,0,0,0,0,0,1,35,N
7,15,77,1,9,3,76,17,0,2,4,3,6,18,80,0,0,0,0,0,0,0,0,0,1,35,N
7,12,88,0,10,2,72,20,0,2,6,4,7,18,82,0,0,0,0,0,0,0,0,0,2,38,N
9,21,33,3,31,6,62,19,0,4,16,11,5,74,30,0,0,1,1,2,5,3,1,9,14,103,N
9,17,28,3,31,8,63,17,0,4,15,11,4,69,24,0,0,1,1,2,5,2,1,9,17,103,N
6,18,25,2,28,7,57,18,0,4,14,8,5,80,21,0,0,1,1,2,6,3,1,10,13,104,N
6,17,22,2,27,7,58,18,0,4,15,8,6,75,21,0,0,1,1,2,6,4,1,10,15,105,N
10,19,23,2,27,7,59,17,0,4,14,10,7,73,23,0,0,1,1,1,6,4,1,7,18,106,N
8,18,23,3,31,7,63,17,0,4,17,10,5,75,24,0,0,1,1,1,7,2,1,7,16,105,N
6,18,23,2,27,7,61,18,0,4,14,7,6,77,21,0,0,1,1,2,6,4,1,10,14,104,N
7,18,25,2,29,7,59,18,0,4,13,7,5,75,21,0,0,1,1,2,6,4,1,10,13,105,N
7,12,76,1,8,3,76,19,0,2,4,4,6,18,76,0,0,0,0,0,0,0,0,0,2,38,N
6,19,27,2,25,7,53,17,0,4,16,14,7,81,25,0,0,1,1,0,4,2,1,4,14,104,N
8,21,24,3,27,6,58,17,0,4,13,11,6,78,21,0,0,1,1,2,8,4,1,7,17,104,N
7,17,24,2,25,9,55,17,0,4,17,12,6,75,23,0,0,1,1,1,5,3,1,8,16,104,N
6,17,27,2,26,8,54,16,0,4,18,11,7,76,25,0,0,1,1,1,5,3,1,8,16,106,N
4,1,14,3,10,1,63,8,0,1,6,7,5,48,7,0,0,1,0,0,6,1,3,2,19,2,N
4,0,21,3,9,1,61,6,0,0,4,6,5,49,8,0,0,2,1,0,7,1,2,4,17,1,N
6,2,18,2,9,1,62,7,0,1,7,8,6,44,8,0,0,1,0,0,4,1,2,2,18,1,N
0,0,9,0,0,0,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,N
0,0,6,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,N
0,0,17,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
35,46,101,7,75,23,455,101,0,6,64,74,53,386,67,0,0,1,1,1,21,10,4,21,118,44,N
19,56,250,1,13,24,201,42,0,1,2,11,0,42,16,0,0,0,0,0,0,0,0,0,2,3,N
28,65,305,2,20,28,238,48,0,0,4,11,1,56,29,0,0,0,0,0,1,0,0,1,4,2,N
13,23,88,3,43,23,221,54,0,4,27,28,17,193,48,0,1,2,1,3,8,7,1,16,50,21,N
0,0,4,0,0,0,0,1,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,16,N
