@relation Latd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
3,19,5,0,3,15,17,8,0,0,0,1,1,2,22,0,0,0,0,0,0,0,0,0,0,0,N
2,5,6,2,9,10,15,5,0,0,1,4,6,10,1,0,0,0,0,0,0,2,0,3,0,0,N
1,9,4,3,20,12,12,7,0,2,4,5,9,17,3,0,0,0,0,0,0,0,0,0,0,0,N
2,3,2,0,1,0,3,5,0,0,1,1,0,1,54,0,0,1,0,1,1,4,0,1,0,1,N
4,6,8,2,18,15,15,3,1,7,4,5,13,17,3,0,0,0,0,2,6,3,0,1,0,0,N
2,13,11,2,13,18,14,7,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,N
0,4,7,0,2,4,3,9,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,N
3,4,12,0,1,1,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,N
2,5,9,0,1,1,0,1,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,N
3,6,11,0,1,1,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,N
2,3,7,1,1,0,1,5,0,0,0,0,0,2,47,0,0,0,0,0,0,0,0,0,0,0,N
18,17,13,4,39,31,49,9,0,3,7,5,12,38,26,0,0,0,1,0,1,2,0,0,3,1,N
9,82,20,0,13,64,42,11,0,1,3,3,2,4,5,0,0,0,0,0,0,0,0,0,0,0,N
12,92,17,1,17,55,31,12,0,0,1,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,N
10,80,16,1,19,60,38,11,0,0,1,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,N
7,83,19,0,14,56,36,5,0,1,2,3,1,6,8,0,0,0,0,0,0,0,0,0,0,0,N
11,84,21,1,18,58,31,11,0,1,2,3,1,6,5,0,0,0,0,0,0,0,0,0,0,0,N
4,51,18,1,9,31,27,6,0,0,0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,N
5,44,11,1,12,31,19,9,0,0,0,3,1,2,12,0,0,0,0,0,0,0,0,0,0,0,N
9,84,30,1,16,53,29,8,0,0,1,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,N
9,59,13,1,14,31,15,11,0,0,0,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,N
7,43,11,2,12,28,23,12,0,1,1,4,1,3,6,0,0,0,0,0,0,0,0,3,0,1,N
13,85,21,0,15,55,39,11,0,0,1,2,0,8,7,0,0,0,0,0,0,0,0,0,0,0,N
9,49,18,1,10,29,19,7,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,N
6,57,15,2,13,34,20,11,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,N
10,55,17,0,9,28,13,11,0,1,1,2,1,3,10,0,0,0,0,0,0,0,0,0,0,0,N
9,52,15,1,12,30,18,9,0,0,0,2,1,2,11,0,0,0,0,0,0,0,0,0,0,0,N
6,22,11,4,12,30,33,12,0,1,3,4,3,14,7,0,0,0,0,0,1,0,0,0,1,0,N
9,26,11,3,9,29,38,10,0,1,4,4,2,19,4,0,0,0,0,0,1,0,0,0,0,0,N
7,47,11,0,6,31,16,8,0,1,1,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,N
8,46,14,1,9,26,21,9,0,1,1,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,N
11,80,24,1,14,56,39,11,0,1,1,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,N
6,28,9,1,9,31,21,7,0,1,3,2,1,10,3,0,0,0,0,0,0,0,0,0,0,0,N
2,7,16,0,0,1,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,N
7,55,17,3,16,29,19,6,0,0,0,3,0,5,13,0,0,0,0,0,0,0,0,0,0,0,N
11,60,16,0,13,30,16,8,0,1,1,2,1,4,11,0,0,0,0,0,0,0,0,0,0,0,N
8,57,12,1,11,29,22,9,0,0,1,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,N
42,120,40,8,54,32,55,31,0,0,2,4,4,7,121,0,0,0,0,0,0,0,0,0,0,0,N
8,25,11,2,17,21,14,6,0,0,1,1,4,5,35,0,0,0,0,0,0,0,0,0,0,0,N
8,29,7,2,16,20,18,4,0,0,0,0,4,5,40,0,0,0,0,0,0,0,0,0,0,0,N
11,15,5,1,18,0,3,22,0,0,0,2,0,2,165,0,0,0,0,0,0,0,0,0,0,0,N
22,34,30,2,35,23,17,6,0,0,1,2,1,4,228,0,0,0,0,0,0,0,0,0,0,0,N
12,14,7,1,18,0,4,26,0,0,0,1,0,2,167,0,0,0,0,0,0,0,0,0,0,0,N
18,44,35,0,19,17,13,29,0,0,0,2,0,0,177,0,0,0,0,0,0,0,0,0,0,1,N
20,37,21,0,36,24,25,15,0,0,0,0,3,4,216,0,0,0,0,0,0,0,0,0,0,0,N
26,33,31,5,59,26,25,12,0,0,2,0,7,12,223,0,0,0,0,0,0,0,0,0,0,0,N
43,113,38,9,65,36,51,35,0,0,1,4,3,7,110,0,0,0,0,0,0,0,0,0,0,0,N
48,117,36,8,65,34,49,31,0,0,1,4,2,6,109,0,0,0,0,0,0,0,0,0,0,0,N
45,116,40,9,65,33,47,31,0,0,2,5,4,6,111,0,0,0,0,0,0,0,0,0,0,0,N
44,115,38,9,63,32,48,31,0,0,1,4,3,6,110,0,0,0,0,0,0,0,0,0,0,0,N
38,108,36,9,66,33,52,30,0,0,1,4,4,5,110,0,0,0,0,0,0,0,0,0,0,0,N
45,112,33,9,67,33,53,31,0,0,1,4,2,6,112,0,0,0,0,0,0,0,0,0,0,0,N
47,111,34,8,59,33,54,31,0,0,1,6,2,4,109,0,0,0,0,0,0,0,0,0,0,0,N
44,113,43,9,60,33,51,33,0,0,1,5,4,6,112,0,0,0,0,0,0,0,0,0,0,0,N
38,116,41,9,66,30,48,32,0,0,1,5,2,5,113,0,0,0,0,0,0,0,0,0,0,1,N
38,107,41,10,67,29,49,28,0,0,1,6,2,5,111,0,0,0,0,0,0,0,0,0,0,1,N
48,116,40,8,61,34,53,31,0,0,1,5,2,4,110,0,0,0,0,0,0,0,0,0,0,0,N
47,113,38,8,63,33,53,30,0,0,1,6,2,4,110,0,0,0,0,0,0,0,0,0,0,0,N
44,114,37,9,59,31,53,31,0,0,2,5,4,5,110,0,0,0,0,0,0,0,0,0,0,0,N
48,110,38,9,59,33,52,31,0,0,2,6,4,5,109,0,0,0,0,0,0,0,0,0,0,0,N
44,113,40,9,61,33,50,32,0,0,2,6,4,5,108,0,0,0,0,0,0,0,0,0,0,0,N
54,112,39,8,65,31,50,30,0,0,1,5,2,5,112,0,0,0,0,0,0,0,0,0,0,0,N
45,113,37,9,67,34,51,29,0,0,1,5,2,6,109,0,0,0,0,0,0,0,0,0,0,0,N
43,114,36,9,68,33,51,31,0,0,1,5,2,6,110,0,0,0,0,0,0,0,0,0,0,0,N
40,117,37,9,60,32,47,30,0,0,2,6,4,5,110,0,0,0,0,0,0,0,0,0,0,0,N
51,115,37,9,63,32,54,31,0,0,1,6,2,5,108,0,0,0,0,0,0,0,0,0,0,0,N
46,114,37,8,63,33,53,32,0,0,1,6,2,4,109,0,0,0,0,0,0,0,0,0,0,0,N
44,113,35,9,62,33,54,31,0,0,1,6,2,5,109,0,0,0,0,0,0,0,0,0,0,0,N
46,112,38,9,57,33,52,31,0,0,2,6,4,5,109,0,0,0,0,0,0,0,0,0,0,0,N
45,108,38,9,58,32,53,30,0,0,2,6,4,5,109,0,0,0,0,0,0,0,0,0,0,0,N
45,113,38,9,63,33,47,31,0,0,1,5,2,6,111,0,0,0,0,0,0,0,0,0,0,0,N
44,125,39,7,53,30,44,30,0,0,1,5,2,6,108,0,0,0,0,0,0,0,0,0,0,0,N
41,107,39,10,68,35,52,30,0,0,1,6,3,5,110,0,0,0,0,0,0,0,0,0,0,0,N
45,108,41,7,59,35,53,30,0,0,1,4,2,6,110,0,0,0,0,0,0,0,0,0,0,0,N
45,108,37,9,65,34,51,32,0,0,1,4,3,6,109,0,0,0,0,0,0,0,0,0,0,0,N
35,108,36,8,63,31,52,30,0,0,2,5,3,7,110,0,0,0,0,0,0,0,0,0,0,0,N
37,114,36,9,61,33,50,30,0,0,1,5,3,7,111,0,0,0,0,0,0,0,0,0,0,0,N
43,106,38,9,63,35,52,31,0,0,1,5,3,6,109,0,0,0,0,0,0,0,0,0,0,0,N
12,54,15,0,25,35,38,8,0,0,0,0,3,10,2,0,0,0,0,0,0,0,0,0,0,0,N
